Heart Rate, Temperature, GSR, Expected Emotion
60, 33, 1, Relax
60, 33, 2, Relax
60, 33, 3, CALM
60, 33, 4, CALM
60, 33, 5, ANXIOUS
60, 33, 6, ANXIOUS
60, 34, 1, Relax
60, 34, 2, Relax
60, 34, 3, CALM
60, 34, 4, CALM
60, 34, 5, ANXIOUS
60, 34, 6, ANXIOUS
60, 35, 1, Relax
60, 35, 2, Relax
60, 35, 3, CALM
60, 35, 4, CALM
60, 35, 5, ANXIOUS
60, 35, 6, ANXIOUS
60, 36, 1, Relax
60, 36, 2, Relax
60, 36, 3, CALM
60, 36, 4, CALM
60, 36, 5, ANXIOUS
60, 36, 6, ANXIOUS
61, 33, 1, Relax
61, 33, 2, Relax
61, 33, 3, CALM
61, 33, 4, CALM
61, 33, 5, ANXIOUS
61, 33, 6, ANXIOUS
61, 34, 1, Relax
61, 34, 2, Relax
61, 34, 3, CALM
61, 34, 4, CALM
61, 34, 5, ANXIOUS
61, 34, 6, ANXIOUS
61, 35, 1, Relax
61, 35, 2, Relax
61, 35, 3, CALM
61, 35, 4, CALM
61, 35, 5, ANXIOUS
61, 35, 6, ANXIOUS
61, 36, 1, Relax
61, 36, 2, Relax
61, 36, 3, CALM
61, 36, 4, CALM
61, 36, 5, ANXIOUS
61, 36, 6, ANXIOUS
62, 33, 1, Relax
62, 33, 2, Relax
62, 33, 3, CALM
62, 33, 4, CALM
62, 33, 5, ANXIOUS
62, 33, 6, ANXIOUS
62, 34, 1, Relax
62, 34, 2, Relax
62, 34, 3, CALM
62, 34, 4, CALM
62, 34, 5, ANXIOUS
62, 34, 6, ANXIOUS
62, 35, 1, Relax
62, 35, 2, Relax
62, 35, 3, CALM
62, 35, 4, CALM
62, 35, 5, ANXIOUS
62, 35, 6, ANXIOUS
62, 36, 1, Relax
62, 36, 2, Relax
62, 36, 3, CALM
62, 36, 4, CALM
62, 36, 5, ANXIOUS
62, 36, 6, ANXIOUS
63, 33, 1, Relax
63, 33, 2, Relax
63, 33, 3, CALM
63, 33, 4, CALM
63, 33, 5, ANXIOUS
63, 33, 6, ANXIOUS
63, 34, 1, Relax
63, 34, 2, Relax
63, 34, 3, CALM
63, 34, 4, CALM
63, 34, 5, ANXIOUS
63, 34, 6, ANXIOUS
63, 35, 1, Relax
63, 35, 2, Relax
63, 35, 3, CALM
63, 35, 4, CALM
63, 35, 5, ANXIOUS
63, 35, 6, ANXIOUS
63, 36, 1, Relax
63, 36, 2, Relax
63, 36, 3, CALM
63, 36, 4, CALM
63, 36, 5, ANXIOUS
63, 36, 6, ANXIOUS
64, 33, 1, Relax
64, 33, 2, Relax
64, 33, 3, CALM
64, 33, 4, CALM
64, 33, 5, ANXIOUS
64, 33, 6, ANXIOUS
64, 34, 1, Relax
64, 34, 2, Relax
64, 34, 3, CALM
64, 34, 4, CALM
64, 34, 5, ANXIOUS
64, 34, 6, ANXIOUS
64, 35, 1, Relax
64, 35, 2, Relax
64, 35, 3, CALM
64, 35, 4, CALM
64, 35, 5, ANXIOUS
64, 35, 6, ANXIOUS
64, 36, 1, Relax
64, 36, 2, Relax
64, 36, 3, CALM
64, 36, 4, CALM
64, 36, 5, ANXIOUS
64, 36, 6, ANXIOUS
65, 33, 1, Relax
65, 33, 2, Relax
65, 33, 3, CALM
65, 33, 4, CALM
65, 33, 5, ANXIOUS
65, 33, 6, ANXIOUS
65, 34, 1, Relax
65, 34, 2, Relax
65, 34, 3, CALM
65, 34, 4, CALM
65, 34, 5, ANXIOUS
65, 34, 6, ANXIOUS
65, 35, 1, Relax
65, 35, 2, Relax
65, 35, 3, CALM
65, 35, 4, CALM
65, 35, 5, ANXIOUS
65, 35, 6, ANXIOUS
65, 36, 1, Relax
65, 36, 2, Relax
65, 36, 3, CALM
65, 36, 4, CALM
65, 36, 5, ANXIOUS
65, 36, 6, ANXIOUS
66, 33, 1, Relax
66, 33, 2, Relax
66, 33, 3, CALM
66, 33, 4, CALM
66, 33, 5, ANXIOUS
66, 33, 6, ANXIOUS
66, 34, 1, Relax
66, 34, 2, Relax
66, 34, 3, CALM
66, 34, 4, CALM
66, 34, 5, ANXIOUS
66, 34, 6, ANXIOUS
66, 35, 1, Relax
66, 35, 2, Relax
66, 35, 3, CALM
66, 35, 4, CALM
66, 35, 5, ANXIOUS
66, 35, 6, ANXIOUS
66, 36, 1, Relax
66, 36, 2, Relax
66, 36, 3, CALM
66, 36, 4, CALM
66, 36, 5, ANXIOUS
66, 36, 6, ANXIOUS
67, 33, 1, Relax
67, 33, 2, Relax
67, 33, 3, CALM
67, 33, 4, CALM
67, 33, 5, ANXIOUS
67, 33, 6, ANXIOUS
67, 34, 1, Relax
67, 34, 2, Relax
67, 34, 3, CALM
67, 34, 4, CALM
67, 34, 5, ANXIOUS
67, 34, 6, ANXIOUS
67, 35, 1, Relax
67, 35, 2, Relax
67, 35, 3, CALM
67, 35, 4, CALM
67, 35, 5, ANXIOUS
67, 35, 6, ANXIOUS
67, 36, 1, Relax
67, 36, 2, Relax
67, 36, 3, CALM
67, 36, 4, CALM
67, 36, 5, ANXIOUS
67, 36, 6, ANXIOUS
68, 33, 1, Relax
68, 33, 2, Relax
68, 33, 3, CALM
68, 33, 4, CALM
68, 33, 5, ANXIOUS
